region,latitude,longitude,datetime,temperature,humidity,cloudCover,windSpeed,rainIntensity
Dakar,14.693425,-17.447938,29-07-2025 00:00:00,25.9,86,70,3.1,0
Dakar,14.693425,-17.447938,29-07-2025 00:05:00,25.9,86,70,3.1,0
Dakar,14.693425,-17.447938,29-07-2025 00:10:00,25.9,86,70,3.1,0
Dakar,14.693425,-17.447938,29-07-2025 00:15:00,25.9,86,70,3.1,0
Dakar,14.693425,-17.447938,29-07-2025 00:20:00,26.6,83,74,3.1,0
Dakar,14.693425,-17.447938,29-07-2025 00:25:00,27.3,81,77,3.1,0
Dakar,14.693425,-17.447938,29-07-2025 00:30:00,28,79,80,3.1,0
Dakar,14.693425,-17.447938,29-07-2025 00:35:00,28,79,80,3.1,0
Dakar,14.693425,-17.447938,29-07-2025 00:40:00,28,79,80,3.1,0
Dakar,14.693425,-17.447938,29-07-2025 00:45:00,28,79,80,3.1,0
Dakar,14.693425,-17.447938,29-07-2025 00:50:00,27.3,82,80,2.4,0
Dakar,14.693425,-17.447938,29-07-2025 00:55:00,26.5,84,80,1.8,0
Dakar,14.693425,-17.447938,29-07-2025 01:00:00,25.8,87,80,1.1,0
Dakar,14.693425,-17.447938,29-07-2025 01:05:00,26.5,83,83,1.8,0
Dakar,14.693425,-17.447938,29-07-2025 01:10:00,27.3,78,85,2.4,0
Dakar,14.693425,-17.447938,29-07-2025 01:15:00,28,74,87,3.1,0
Dakar,14.693425,-17.447938,29-07-2025 01:20:00,28,74,87,3.1,0
Dakar,14.693425,-17.447938,29-07-2025 01:25:00,28,74,87,3.1,0
Dakar,14.693425,-17.447938,29-07-2025 01:30:00,28,74,87,3.1,0
Dakar,14.693425,-17.447938,29-07-2025 01:35:00,28,74,87,3.1,0
Dakar,14.693425,-17.447938,29-07-2025 01:40:00,28,74,87,3.1,0
Dakar,14.693425,-17.447938,29-07-2025 01:45:00,28,74,87,3.1,0
Dakar,14.693425,-17.447938,29-07-2025 01:50:00,27.3,79,90,2.3,0
Dakar,14.693425,-17.447938,29-07-2025 01:55:00,26.6,83,92,1.5,0
Dakar,14.693425,-17.447938,29-07-2025 02:00:00,25.8,87,95,0.7,0
Dakar,14.693425,-17.447938,29-07-2025 02:05:00,25.8,87,95,0.7,0
